title,type,price,private_owner,professional_name,floor_built,floor_area,floor,year_built,orientation,bedrooms,bathrooms,second_hand,lift,garage_included,furnished,terrace,balcony,storeroom,swimming_pool,garden_area,location,district,postalcode
Flat / apartment for rent in San Ramón Nonato,Flat,900,False,SERVICHECK Inmobiliaria,50,,ground,,,2,1,True,True,False,True,False,False,False,False,False,"San Ramón Nonato, Subdistrict Castilla, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28046.0
"Penthouse for rent in paseo de la Castellana, 118",Penthouse,3900,False,Be Premium Real Estate,129,,9th,,west,1,1,True,True,False,True,True,False,False,False,False,"Paseo de la Castellana, 118, Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28046.0
"Flat / apartment for rent in calle del Príncipe de Vergara, 102",Flat,2565,False,Home Club,60,,ground,,,1,1,True,True,False,True,False,False,False,False,False,"Calle del Príncipe de Vergara, 102, Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28006.0
"Penthouse for rent in calle Clara del Rey, 34",Penthouse,1300,True,,70,,9th,,,1,1,True,True,False,True,True,False,False,False,False,"Calle Clara del Rey, 34, Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
Flat / apartment for rent in Nueva España,Flat,4750,False,Area Casa,210,209.0,2nd,,,4,5,True,True,False,True,False,False,False,True,False,", Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
Flat / apartment for rent in calle de López de Hoyos,Flat,1400,False,Madrid Alquila,122,,4th,1945.0,east,3,2,True,True,False,True,True,False,False,False,False,"Calle de López de Hoyos, Subdistrict Ciudad Jardín, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
Flat / apartment for rent in paseo de la Castellana,Flat,950,False,Aquavilla Team By RE/MAX Alma,65,,4th,1954.0,west,2,1,True,True,False,True,False,True,False,False,False,"Paseo de la Castellana, Subdistrict Castilla, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
"Flat / apartment for rent in calle de Luis de Salazar, 8",Flat,1350,False,Fives Real Estate,95,80.0,6th,1997.0,east,2,2,True,True,False,True,True,False,False,True,False,"Calle de Luis de Salazar, 8, Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
Flat / apartment for rent in calle de Sánchez Balderas,Flat,950,False,Servifincas,60,45.0,2nd,1988.0,north,1,1,True,True,False,True,True,False,False,False,False,"Calle de Sánchez Balderas, Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
"Flat / apartment for rent in calle de Luis de Salazar, 8",Flat,1300,False,Deal Inmobiliaria,82,,1st,,,2,2,True,True,False,True,False,False,False,False,False,"Calle de Luis de Salazar, 8, Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
Flat / apartment for rent in Nueva España,Flat,1975,True,,100,85.0,2nd,,west,2,2,True,True,False,True,False,False,False,False,False,", Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
Flat / apartment for rent in Prosperidad,Flat,1198,False,Spotahome,29,25.0,ground,,,1,1,True,True,False,True,False,False,False,False,False,", Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
"Flat / apartment for rent in avenida de Alberto de Alcocer, 41",Flat,1300,False,roomless,55,45.0,55,1990.0,south,1,1,True,True,False,True,False,False,False,False,False,"Avenida de Alberto de Alcocer, 41, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28016.0
"Flat / apartment for rent in avenida de Alberto de Alcocer, 41",Flat,1150,False,roomless,45,35.0,45,1990.0,south,1,1,True,True,False,True,False,False,False,False,False,"Avenida de Alberto de Alcocer, 41, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28016.0
Flat / apartment for rent in El Viso,Flat,3000,False,GV | Real Estate,134,,3rd,,,3,3,True,True,False,True,True,False,False,False,False,", Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
Flat / apartment for rent in calle de Sánchez Pacheco,Flat,1250,False,Redpiso,76,,1st,,,3,1,True,True,False,True,False,False,False,False,False,"Calle de Sánchez Pacheco, Subdistrict Ciudad Jardín, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
Flat / apartment for rent in Prosperidad,Flat,1300,False,Area Casa,60,,3rd,,,1,1,True,True,True,True,False,False,True,False,False,", Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
"Penthouse for rent in paseo de la Castellana, 118",Penthouse,3900,True,,129,100.0,9th,,west,1,1,True,True,False,True,True,False,False,False,False,"Paseo de la Castellana, 118, Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28046.0
Flat / apartment for rent in avenida de Alberto de Alcocer,Flat,3550,False,Zazume,210,,9th,,north,5,4,True,True,False,True,False,True,False,False,False,"Avenida de Alberto de Alcocer, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
