titulo,zona,latitud,longitud,direccion_usada,geocoding_ok
"Piso en calle del Carril de los Caleros, Aravaca, Madrid",moncloa,40.457749,-3.7827941,"Aravaca, Madrid, España",True
"Piso en calle de la Paz, Sol, Madrid",centro,40.4156837,-3.7039271,"calle de la Paz, Sol, Madrid, España",True
"Casa o chalet independiente en avenida Osa Mayor, 189, Aravaca, Madrid",moncloa,40.457749,-3.7827941,"Aravaca, Madrid, España",True
"Piso en paseo de las Delicias, 42, Palos de la Frontera, Madrid",arganzuela,40.4032401,-3.6939428,"paseo de las Delicias, 42, Palos de la Frontera, Madrid, España",True
"Ático en calle de Víctor de la Serna, Bernabéu-Hispanoamérica, Madrid",chamartin,40.4559156,-3.6703327,"calle de Víctor de la Serna, Madrid, España",True
"Piso en calle del Labrador, Acacias, Madrid",arganzuela,40.4019424,-3.7016259,"calle del Labrador, Acacias, Madrid, España",True
"Ático en calle de Fernando el Católico, Gaztambide, Madrid",chamberi,40.4341362,-3.7112885,"calle de Fernando el Católico, Gaztambide, Madrid, España",True
"Chalet adosado en calle de Vedra, Entrevías, Madrid",puente-de-vallecas,40.3790449,-3.6717573,"Entrevías, Madrid, España",True
"Piso en calle de San Pedro, Huertas-Cortes, Madrid",centro,40.0298972,-3.5940539,"calle de San Pedro, Madrid, España",True
"Piso en calle de Castilla, 21, Bellas Vistas, Madrid",tetuan,40.4530367,-3.7057452,"calle de Castilla, 21, Bellas Vistas, Madrid, España",True
"Piso en calle de Alcalá, Pueblo Nuevo, Madrid",ciudad-lineal,40.4336551,-3.6469735,"calle de Alcalá, Pueblo Nuevo, Madrid, España",True
"Piso en calle de Tenerife, 40, Bellas Vistas, Madrid",tetuan,40.4513045,-3.7062161,"calle de Tenerife, 40, Bellas Vistas, Madrid, España",True
"Piso en calle de Blasco de Garay, 84, Arapiles, Madrid",chamberi,40.4381764,-3.7110852,"calle de Blasco de Garay, 84, Arapiles, Madrid, España",True
"Piso en calle de la Espada, 4, Lavapiés-Embajadores, Madrid",centro,40.4118126,-3.7047687,"calle de la Espada, 4, Lavapiés-Embajadores, Madrid, España",True
"Piso en avenida de Menéndez Pelayo, Pacífico, Madrid",retiro,40.4057118,-3.6799796,"avenida de Menéndez Pelayo, Pacífico, Madrid, España",True
"Piso en calle de Bravo Murillo, 28, Trafalgar, Madrid",chamberi,40.4366289,-3.704094,"calle de Bravo Murillo, 28, Trafalgar, Madrid, España",True
"Piso en avenida de la Peseta, Pau de Carabanchel, Madrid",carabanchel,40.3670032,-3.7642309,"avenida de la Peseta, Madrid, España",True
"Piso en Jerónimos, Madrid",retiro,40.4160929,-3.6892674,"Jerónimos, Madrid, España",True
"Piso en calle del Puerto de Pozazal, 35, Ensanche de Vallecas - La Gavia, Madrid",villa-de-vallecas,40.3797827,-3.6331358,"calle del Puerto de Pozazal, 35, Madrid, España",True
"Piso en Campamento, Madrid",latina,40.3946832,-3.7682788,"Campamento, Madrid, España",True
"Piso en calle de Belzunegui, Puerta Bonita, Madrid",carabanchel,40.3759739,-3.739095,"calle de Belzunegui, Puerta Bonita, Madrid, España",True
